flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-11-24,active,"{'airport': 'Oenpelli', 'timezone': 'Australia/Darwin', 'iata': 'OPI', 'icao': 'YOEN', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-24T09:30:00+00:00', 'estimated': '2023-11-24T09:30:00+00:00', 'actual': '2023-11-23T09:24:00+00:00', 'estimated_runway': '2023-11-23T09:24:00+00:00', 'actual_runway': '2023-11-23T09:24:00+00:00'}","{'airport': 'Maningrida', 'timezone': 'Australia/Darwin', 'iata': 'MNG', 'icao': 'YMGD', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-23T10:03:00+00:00', 'estimated': '2023-11-23T10:03:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'KLM Cityhopper', 'iata': 'WA', 'icao': 'KLC'}","{'number': '872', 'iata': 'WA872', 'icao': 'KLC872', 'codeshared': None}",,
2023-11-24,active,"{'airport': 'Sydney Bankstown', 'timezone': 'Australia/Sydney', 'iata': 'BWU', 'icao': 'YSBK', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-24T08:55:00+00:00', 'estimated': '2023-11-24T08:55:00+00:00', 'actual': '2023-11-23T09:03:00+00:00', 'estimated_runway': '2023-11-23T09:03:00+00:00', 'actual_runway': '2023-11-23T09:03:00+00:00'}","{'airport': 'Williamtown', 'timezone': 'Australia/Sydney', 'iata': 'NTL', 'icao': 'YWLM', 'terminal': None, 'gate': None, 'baggage': None, 'delay': 15, 'scheduled': '2023-11-23T09:20:00+00:00', 'estimated': '2023-11-23T09:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'CareFlight', 'iata': None, 'icao': 'CFH'}","{'number': '21', 'iata': None, 'icao': 'CFH21', 'codeshared': None}",,
2023-11-23,active,"{'airport': 'Haneda Airport', 'timezone': 'Asia/Tokyo', 'iata': 'HND', 'icao': 'RJTT', 'terminal': '3', 'gate': '149', 'delay': 8, 'scheduled': '2023-11-23T16:05:00+00:00', 'estimated': '2023-11-23T16:05:00+00:00', 'actual': '2023-11-23T16:12:00+00:00', 'estimated_runway': '2023-11-23T16:12:00+00:00', 'actual_runway': '2023-11-23T16:12:00+00:00'}","{'airport': 'Hong Kong International', 'timezone': 'Asia/Hong_Kong', 'iata': 'HKG', 'icao': 'VHHH', 'terminal': '1', 'gate': None, 'baggage': '9', 'delay': None, 'scheduled': '2023-11-23T20:15:00+00:00', 'estimated': '2023-11-23T20:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Cathay Pacific', 'iata': 'CX', 'icao': 'CPA'}","{'number': '549', 'iata': 'CX549', 'icao': 'CPA549', 'codeshared': None}",,
2023-11-23,active,"{'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)', 'timezone': 'Asia/Taipei', 'iata': 'TPE', 'icao': 'RCTP', 'terminal': '1', 'gate': 'B4', 'delay': 5, 'scheduled': '2023-11-23T16:10:00+00:00', 'estimated': '2023-11-23T16:10:00+00:00', 'actual': '2023-11-23T16:14:00+00:00', 'estimated_runway': '2023-11-23T16:14:00+00:00', 'actual_runway': '2023-11-23T16:14:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '1', 'gate': None, 'baggage': '18', 'delay': None, 'scheduled': '2023-11-23T20:55:00+00:00', 'estimated': '2023-11-23T20:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Scoot', 'iata': 'TR', 'icao': 'TGW'}","{'number': '899', 'iata': 'TR899', 'icao': 'TGW899', 'codeshared': None}",,
2023-11-23,active,"{'airport': 'Ninoy Aquino International', 'timezone': 'Asia/Manila', 'iata': 'MNL', 'icao': 'RPLL', 'terminal': '2', 'gate': None, 'delay': 14, 'scheduled': '2023-11-23T14:10:00+00:00', 'estimated': '2023-11-23T14:10:00+00:00', 'actual': '2023-11-23T14:23:00+00:00', 'estimated_runway': '2023-11-23T14:23:00+00:00', 'actual_runway': '2023-11-23T14:23:00+00:00'}","{'airport': 'Malay', 'timezone': 'Asia/Manila', 'iata': 'MPH', 'icao': 'RPVE', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-23T15:20:00+00:00', 'estimated': '2023-11-23T15:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Philippine Airlines', 'iata': 'PR', 'icao': 'PAL'}","{'number': '2043', 'iata': 'PR2043', 'icao': 'PAL2043', 'codeshared': None}",,
2023-11-23,active,"{'airport': 'Ninoy Aquino International', 'timezone': 'Asia/Manila', 'iata': 'MNL', 'icao': 'RPLL', 'terminal': '2', 'gate': None, 'delay': 14, 'scheduled': '2023-11-23T14:10:00+00:00', 'estimated': '2023-11-23T14:10:00+00:00', 'actual': '2023-11-23T14:23:00+00:00', 'estimated_runway': '2023-11-23T14:23:00+00:00', 'actual_runway': '2023-11-23T14:23:00+00:00'}","{'airport': 'Malay', 'timezone': 'Asia/Manila', 'iata': 'MPH', 'icao': 'RPVE', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-23T15:20:00+00:00', 'estimated': '2023-11-23T15:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Malaysia Airlines', 'iata': 'MH', 'icao': 'MAS'}","{'number': '5989', 'iata': 'MH5989', 'icao': 'MAS5989', 'codeshared': {'airline_name': 'philippine airlines', 'airline_iata': 'pr', 'airline_icao': 'pal', 'flight_number': '2043', 'flight_iata': 'pr2043', 'flight_icao': 'pal2043'}}",,
2023-11-23,active,"{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'D11', 'delay': 21, 'scheduled': '2023-11-23T19:15:00+00:00', 'estimated': '2023-11-23T19:15:00+00:00', 'actual': '2023-11-23T19:36:00+00:00', 'estimated_runway': '2023-11-23T19:36:00+00:00', 'actual_runway': '2023-11-23T19:36:00+00:00'}","{'airport': 'Dunedin International', 'timezone': 'Pacific/Auckland', 'iata': 'DUD', 'icao': 'NZDN', 'terminal': None, 'gate': '11', 'baggage': None, 'delay': 11, 'scheduled': '2023-11-23T20:20:00+00:00', 'estimated': '2023-11-23T20:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5759', 'iata': 'NZ5759', 'icao': 'ANZ5759', 'codeshared': None}",,
2023-11-23,active,"{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'D11', 'delay': 21, 'scheduled': '2023-11-23T19:15:00+00:00', 'estimated': '2023-11-23T19:15:00+00:00', 'actual': '2023-11-23T19:36:00+00:00', 'estimated_runway': '2023-11-23T19:36:00+00:00', 'actual_runway': '2023-11-23T19:36:00+00:00'}","{'airport': 'Dunedin International', 'timezone': 'Pacific/Auckland', 'iata': 'DUD', 'icao': 'NZDN', 'terminal': None, 'gate': '11', 'baggage': None, 'delay': 11, 'scheduled': '2023-11-23T20:20:00+00:00', 'estimated': '2023-11-23T20:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Etihad Airways', 'iata': 'EY', 'icao': 'ETD'}","{'number': '4533', 'iata': 'EY4533', 'icao': 'ETD4533', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '5759', 'flight_iata': 'nz5759', 'flight_icao': 'anz5759'}}",,
2023-11-23,active,"{'airport': 'Frankfurt International Airport', 'timezone': 'Europe/Berlin', 'iata': 'FRA', 'icao': 'EDDF', 'terminal': '1', 'gate': 'B3', 'delay': 25, 'scheduled': '2023-11-23T08:00:00+00:00', 'estimated': '2023-11-23T08:00:00+00:00', 'actual': '2023-11-23T08:25:00+00:00', 'estimated_runway': '2023-11-23T08:25:00+00:00', 'actual_runway': '2023-11-23T08:25:00+00:00'}","{'airport': 'Sur Reina Sofia', 'timezone': 'Atlantic/Canary', 'iata': 'TFS', 'icao': 'GCTS', 'terminal': '2', 'gate': None, 'baggage': 'A3', 'delay': 10, 'scheduled': '2023-11-23T11:40:00+00:00', 'estimated': '2023-11-23T11:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Condor', 'iata': 'DE', 'icao': 'CFG'}","{'number': '1478', 'iata': 'DE1478', 'icao': 'CFG1478', 'codeshared': None}",,
2023-11-23,active,"{'airport': 'Frankfurt International Airport', 'timezone': 'Europe/Berlin', 'iata': 'FRA', 'icao': 'EDDF', 'terminal': '2', 'gate': 'E3', 'delay': 22, 'scheduled': '2023-11-23T07:15:00+00:00', 'estimated': '2023-11-23T07:15:00+00:00', 'actual': '2023-11-23T07:36:00+00:00', 'estimated_runway': '2023-11-23T07:36:00+00:00', 'actual_runway': '2023-11-23T07:36:00+00:00'}","{'airport': 'Hurghada', 'timezone': 'Africa/Cairo', 'iata': 'HRG', 'icao': 'HEGN', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 2, 'scheduled': '2023-11-23T12:45:00+00:00', 'estimated': '2023-11-23T12:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'TUIfly', 'iata': 'X3', 'icao': 'TUI'}","{'number': '6102', 'iata': 'X36102', 'icao': 'TUI6102', 'codeshared': None}",,
