flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-11-24,active,"{'airport': 'Oenpelli', 'timezone': 'Australia/Darwin', 'iata': 'OPI', 'icao': 'YOEN', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-24T09:30:00+00:00', 'estimated': '2023-11-24T09:30:00+00:00', 'actual': '2023-11-23T09:24:00+00:00', 'estimated_runway': '2023-11-23T09:24:00+00:00', 'actual_runway': '2023-11-23T09:24:00+00:00'}","{'airport': 'Maningrida', 'timezone': 'Australia/Darwin', 'iata': 'MNG', 'icao': 'YMGD', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-23T10:03:00+00:00', 'estimated': '2023-11-23T10:03:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'KLM Cityhopper', 'iata': 'WA', 'icao': 'KLC'}","{'number': '872', 'iata': 'WA872', 'icao': 'KLC872', 'codeshared': None}",,
2023-11-24,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '3', 'gate': '15', 'delay': 15, 'scheduled': '2023-11-24T06:10:00+00:00', 'estimated': '2023-11-24T06:10:00+00:00', 'actual': '2023-11-24T06:25:00+00:00', 'estimated_runway': '2023-11-24T06:25:00+00:00', 'actual_runway': '2023-11-24T06:25:00+00:00'}","{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': 'D', 'gate': '48', 'baggage': 'D05', 'delay': None, 'scheduled': '2023-11-24T07:20:00+00:00', 'estimated': '2023-11-24T07:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air Canada', 'iata': 'AC', 'icao': 'ACA'}","{'number': '2729', 'iata': 'AC2729', 'icao': 'ACA2729', 'codeshared': {'airline_name': 'virgin australia', 'airline_iata': 'va', 'airline_icao': 'voz', 'flight_number': '303', 'flight_iata': 'va303', 'flight_icao': 'voz303'}}",,
2023-11-24,active,"{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': None, 'gate': None, 'delay': 6, 'scheduled': '2023-11-24T00:30:00+00:00', 'estimated': '2023-11-24T00:30:00+00:00', 'actual': '2023-11-24T00:36:00+00:00', 'estimated_runway': '2023-11-24T00:36:00+00:00', 'actual_runway': '2023-11-24T00:36:00+00:00'}","{'airport': 'Ted Stevens Anchorage International Airport', 'timezone': 'America/Anchorage', 'iata': 'ANC', 'icao': 'PANC', 'terminal': 'S', 'gate': None, 'baggage': None, 'delay': 8, 'scheduled': '2023-11-23T13:38:00+00:00', 'estimated': '2023-11-23T13:38:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Atlas Air', 'iata': '5Y', 'icao': 'GTI'}","{'number': '8468', 'iata': '5Y8468', 'icao': 'GTI8468', 'codeshared': None}","{'registration': 'N406KZ', 'iata': 'B744', 'icao': 'B744', 'icao24': 'A4C3E4'}","{'updated': '2023-11-23T18:42:52+00:00', 'latitude': 48.339, 'longitude': 160.71, 'altitude': 10363.2, 'direction': 16, 'speed_horizontal': 1022.3, 'speed_vertical': 0, 'is_ground': False}"
2023-11-24,active,"{'airport': 'Tan Son Nhat International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'SGN', 'icao': 'VVTS', 'terminal': '1', 'gate': None, 'delay': 17, 'scheduled': '2023-11-24T00:05:00+00:00', 'estimated': '2023-11-24T00:05:00+00:00', 'actual': '2023-11-24T00:22:00+00:00', 'estimated_runway': '2023-11-24T00:22:00+00:00', 'actual_runway': '2023-11-24T00:22:00+00:00'}","{'airport': 'Gimhae', 'timezone': 'Asia/Seoul', 'iata': 'PUS', 'icao': 'RKPK', 'terminal': 'I', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T07:00:00+00:00', 'estimated': '2023-11-24T07:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': None, 'iata': 'H1', 'icao': 'H1'}","{'number': '5128', 'iata': 'H15128', 'icao': 'H15128', 'codeshared': {'airline_name': 'vietjet air', 'airline_iata': 'vj', 'airline_icao': 'vjc', 'flight_number': '868', 'flight_iata': 'vj868', 'flight_icao': 'vjc868'}}",,
2023-11-24,active,"{'airport': 'Tan Son Nhat International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'SGN', 'icao': 'VVTS', 'terminal': '2', 'gate': None, 'delay': 10, 'scheduled': '2023-11-24T00:01:00+00:00', 'estimated': '2023-11-24T00:01:00+00:00', 'actual': '2023-11-24T00:10:00+00:00', 'estimated_runway': '2023-11-24T00:10:00+00:00', 'actual_runway': '2023-11-24T00:10:00+00:00'}","{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': '1', 'gate': '33', 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T07:00:00+00:00', 'estimated': '2023-11-24T07:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'ANA', 'iata': 'NH', 'icao': 'ANA'}","{'number': '9706', 'iata': 'NH9706', 'icao': 'ANA9706', 'codeshared': {'airline_name': 'vietnam airlines', 'airline_iata': 'vn', 'airline_icao': 'hvn', 'flight_number': '320', 'flight_iata': 'vn320', 'flight_icao': 'hvn320'}}",,
2023-11-24,active,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': None, 'gate': None, 'delay': 3, 'scheduled': '2023-11-24T02:40:00+00:00', 'estimated': '2023-11-24T02:40:00+00:00', 'actual': '2023-11-24T02:43:00+00:00', 'estimated_runway': '2023-11-24T02:43:00+00:00', 'actual_runway': '2023-11-24T02:43:00+00:00'}","{'airport': 'Tianhe International', 'timezone': 'Asia/Shanghai', 'iata': 'WUH', 'icao': 'ZHHH', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T04:00:00+00:00', 'estimated': '2023-11-24T04:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SF Airlines', 'iata': 'O3', 'icao': 'CSS'}","{'number': '7464', 'iata': 'O37464', 'icao': 'CSS7464', 'codeshared': None}",,
2023-11-24,active,"{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'delay': 44, 'scheduled': '2023-11-24T01:05:00+00:00', 'estimated': '2023-11-24T01:05:00+00:00', 'actual': '2023-11-24T01:48:00+00:00', 'estimated_runway': '2023-11-24T01:48:00+00:00', 'actual_runway': '2023-11-24T01:48:00+00:00'}","{'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)', 'timezone': 'Asia/Taipei', 'iata': 'TPE', 'icao': 'RCTP', 'terminal': '1', 'gate': 'B1R', 'baggage': '2', 'delay': 7, 'scheduled': '2023-11-24T06:00:00+00:00', 'estimated': '2023-11-24T06:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Batik Air', 'iata': 'ID', 'icao': 'BTK'}","{'number': '880', 'iata': 'ID880', 'icao': 'BTK880', 'codeshared': None}",,
2023-11-24,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '4', 'gate': '49', 'delay': 6, 'scheduled': '2023-11-24T06:20:00+00:00', 'estimated': '2023-11-24T06:20:00+00:00', 'actual': '2023-11-24T06:26:00+00:00', 'estimated_runway': '2023-11-24T06:26:00+00:00', 'actual_runway': '2023-11-24T06:26:00+00:00'}","{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T07:25:00+00:00', 'estimated': '2023-11-24T07:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jetstar', 'iata': 'JQ', 'icao': 'JST'}","{'number': '972', 'iata': 'JQ972', 'icao': 'JST972', 'codeshared': None}",,
2023-11-24,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '4', 'gate': '49', 'delay': 6, 'scheduled': '2023-11-24T06:20:00+00:00', 'estimated': '2023-11-24T06:20:00+00:00', 'actual': '2023-11-24T06:26:00+00:00', 'estimated_runway': '2023-11-24T06:26:00+00:00', 'actual_runway': '2023-11-24T06:26:00+00:00'}","{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T07:25:00+00:00', 'estimated': '2023-11-24T07:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '5686', 'iata': 'QF5686', 'icao': 'QFA5686', 'codeshared': {'airline_name': 'jetstar', 'airline_iata': 'jq', 'airline_icao': 'jst', 'flight_number': '972', 'flight_iata': 'jq972', 'flight_icao': 'jst972'}}",,
2023-11-24,active,"{'airport': 'Bandaranaike International', 'timezone': 'Asia/Colombo', 'iata': 'CMB', 'icao': 'VCBI', 'terminal': None, 'gate': '07', 'delay': 19, 'scheduled': '2023-11-24T00:45:00+00:00', 'estimated': '2023-11-24T00:45:00+00:00', 'actual': '2023-11-24T01:04:00+00:00', 'estimated_runway': '2023-11-24T01:04:00+00:00', 'actual_runway': '2023-11-24T01:04:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-24T07:15:00+00:00', 'estimated': '2023-11-24T07:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Singapore Airlines', 'iata': 'SQ', 'icao': 'SIA'}","{'number': '469', 'iata': 'SQ469', 'icao': 'SIA469', 'codeshared': None}",,
