flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-11-26,active,"{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2023-11-26T17:30:00+00:00', 'estimated': '2023-11-26T17:30:00+00:00', 'actual': '2023-11-26T17:29:00+00:00', 'estimated_runway': '2023-11-26T17:29:00+00:00', 'actual_runway': '2023-11-26T17:29:00+00:00'}","{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-26T22:40:00+00:00', 'estimated': '2023-11-26T22:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Singapore Airlines', 'iata': 'SQ', 'icao': 'SIA'}","{'number': '214', 'iata': 'SQ214', 'icao': 'SIA214', 'codeshared': None}","{'registration': '9V-SCL', 'iata': 'B78X', 'icao': 'B78X', 'icao24': '76CC6C'}","{'updated': '2023-11-26T10:01:39+00:00', 'latitude': -29.1572, 'longitude': 114.295, 'altitude': 11574.8, 'direction': 336, 'speed_horizontal': 870.44, 'speed_vertical': 0, 'is_ground': False}"
2023-11-26,active,"{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '4', 'gate': '14', 'delay': 25, 'scheduled': '2023-11-26T17:20:00+00:00', 'estimated': '2023-11-26T17:20:00+00:00', 'actual': '2023-11-26T17:45:00+00:00', 'estimated_runway': '2023-11-26T17:45:00+00:00', 'actual_runway': '2023-11-26T17:45:00+00:00'}","{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '1', 'gate': '23', 'baggage': None, 'delay': 2, 'scheduled': '2023-11-26T23:55:00+00:00', 'estimated': '2023-11-26T23:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '780', 'iata': 'QF780', 'icao': 'QFA780', 'codeshared': None}",,
2023-11-26,active,"{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '3', 'gate': '16', 'delay': 1, 'scheduled': '2023-11-26T17:10:00+00:00', 'estimated': '2023-11-26T17:10:00+00:00', 'actual': '2023-11-26T17:10:00+00:00', 'estimated_runway': '2023-11-26T17:10:00+00:00', 'actual_runway': '2023-11-26T17:10:00+00:00'}","{'airport': 'Adelaide International Airport', 'timezone': 'Australia/Adelaide', 'iata': 'ADL', 'icao': 'YPAD', 'terminal': '1', 'gate': '23', 'baggage': None, 'delay': None, 'scheduled': '2023-11-26T22:30:00+00:00', 'estimated': '2023-11-26T22:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '888', 'iata': 'QF888', 'icao': 'QFA888', 'codeshared': None}",,
2023-11-26,active,"{'airport': 'Perth International', 'timezone': 'Australia/Perth', 'iata': 'PER', 'icao': 'YPPH', 'terminal': '1', 'gate': '50A', 'delay': 4, 'scheduled': '2023-11-26T17:10:00+00:00', 'estimated': '2023-11-26T17:10:00+00:00', 'actual': '2023-11-26T17:13:00+00:00', 'estimated_runway': '2023-11-26T17:13:00+00:00', 'actual_runway': '2023-11-26T17:13:00+00:00'}","{'airport': 'Ngurah Rai International', 'timezone': 'Asia/Makassar', 'iata': 'DPS', 'icao': 'WADD', 'terminal': 'I', 'gate': None, 'baggage': '1', 'delay': None, 'scheduled': '2023-11-26T21:05:00+00:00', 'estimated': '2023-11-26T21:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jetstar', 'iata': 'JQ', 'icao': 'JST'}","{'number': '116', 'iata': 'JQ116', 'icao': 'JST116', 'codeshared': None}","{'registration': 'VH-VFI', 'iata': 'A320', 'icao': 'A320', 'icao24': '7C6B0C'}","{'updated': '2023-11-26T10:18:38+00:00', 'latitude': -24.2944, 'longitude': 115.715, 'altitude': 10972.8, 'direction': 356, 'speed_horizontal': 898.22, 'speed_vertical': 0, 'is_ground': False}"
2023-11-26,active,"{'airport': 'Mungalalu Truscott Airbase', 'timezone': None, 'iata': 'TTX', 'icao': 'YTST', 'terminal': None, 'gate': None, 'delay': 18, 'scheduled': '2023-11-26T12:30:00+00:00', 'estimated': '2023-11-26T12:30:00+00:00', 'actual': '2023-11-26T12:48:00+00:00', 'estimated_runway': '2023-11-26T12:48:00+00:00', 'actual_runway': '2023-11-26T12:48:00+00:00'}","{'airport': 'Broome', 'timezone': 'Australia/Perth', 'iata': 'BME', 'icao': 'YBRM', 'terminal': None, 'gate': None, 'baggage': None, 'delay': 14, 'scheduled': '2023-11-26T14:03:00+00:00', 'estimated': '2023-11-26T14:03:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Surinam Airways', 'iata': 'PY', 'icao': 'SLM'}","{'number': '9926', 'iata': 'PY9926', 'icao': 'SLM9926', 'codeshared': None}","{'registration': 'VH-SJQ', 'iata': 'C441', 'icao': 'C441', 'icao24': '7C5C74'}","{'updated': '2023-11-26T06:02:19+00:00', 'latitude': -17.4704, 'longitude': 122.881, 'altitude': 4739.64, 'direction': 232, 'speed_horizontal': 492.632, 'speed_vertical': 0, 'is_ground': False}"
2023-11-26,active,"{'airport': 'Da Nang', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'DAD', 'icao': 'VVDN', 'terminal': '2', 'gate': None, 'delay': 9, 'scheduled': '2023-11-26T15:45:00+00:00', 'estimated': '2023-11-26T15:45:00+00:00', 'actual': '2023-11-26T15:53:00+00:00', 'estimated_runway': '2023-11-26T15:53:00+00:00', 'actual_runway': '2023-11-26T15:53:00+00:00'}","{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '2', 'gate': '247', 'baggage': '4', 'delay': None, 'scheduled': '2023-11-26T22:05:00+00:00', 'estimated': '2023-11-26T22:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Korean Air', 'iata': 'KE', 'icao': 'KAL'}","{'number': '458', 'iata': 'KE458', 'icao': 'KAL458', 'codeshared': None}","{'registration': 'HL8025', 'iata': 'A333', 'icao': 'A333', 'icao24': '71C025'}","{'updated': '2023-11-26T12:09:09+00:00', 'latitude': 35.0991, 'longitude': 126.862, 'altitude': 10866.1, 'direction': 5, 'speed_horizontal': 940.816, 'speed_vertical': 0, 'is_ground': False}"
2023-11-26,active,"{'airport': 'Da Nang', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'DAD', 'icao': 'VVDN', 'terminal': '2', 'gate': None, 'delay': 9, 'scheduled': '2023-11-26T15:45:00+00:00', 'estimated': '2023-11-26T15:45:00+00:00', 'actual': '2023-11-26T15:53:00+00:00', 'estimated_runway': '2023-11-26T15:53:00+00:00', 'actual_runway': '2023-11-26T15:53:00+00:00'}","{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '2', 'gate': '247', 'baggage': '4', 'delay': None, 'scheduled': '2023-11-26T22:05:00+00:00', 'estimated': '2023-11-26T22:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Vietnam Airlines', 'iata': 'VN', 'icao': 'HVN'}","{'number': '3442', 'iata': 'VN3442', 'icao': 'HVN3442', 'codeshared': {'airline_name': 'korean air', 'airline_iata': 'ke', 'airline_icao': 'kal', 'flight_number': '458', 'flight_iata': 'ke458', 'flight_icao': 'kal458'}}",,
2023-11-26,active,"{'airport': 'Da Nang', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'DAD', 'icao': 'VVDN', 'terminal': '2', 'gate': None, 'delay': 9, 'scheduled': '2023-11-26T15:45:00+00:00', 'estimated': '2023-11-26T15:45:00+00:00', 'actual': '2023-11-26T15:53:00+00:00', 'estimated_runway': '2023-11-26T15:53:00+00:00', 'actual_runway': '2023-11-26T15:53:00+00:00'}","{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '2', 'gate': '247', 'baggage': '4', 'delay': None, 'scheduled': '2023-11-26T22:05:00+00:00', 'estimated': '2023-11-26T22:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Delta Air Lines', 'iata': 'DL', 'icao': 'DAL'}","{'number': '9047', 'iata': 'DL9047', 'icao': 'DAL9047', 'codeshared': {'airline_name': 'korean air', 'airline_iata': 'ke', 'airline_icao': 'kal', 'flight_number': '458', 'flight_iata': 'ke458', 'flight_icao': 'kal458'}}",,
2023-11-26,active,"{'airport': 'Da Nang', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'DAD', 'icao': 'VVDN', 'terminal': '2', 'gate': None, 'delay': 24, 'scheduled': '2023-11-26T15:45:00+00:00', 'estimated': '2023-11-26T15:45:00+00:00', 'actual': '2023-11-26T16:09:00+00:00', 'estimated_runway': '2023-11-26T16:09:00+00:00', 'actual_runway': '2023-11-26T16:09:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': 3, 'scheduled': '2023-11-26T19:40:00+00:00', 'estimated': '2023-11-26T19:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'AirAsia', 'iata': 'AK', 'icao': 'AXM'}","{'number': '641', 'iata': 'AK641', 'icao': 'AXM641', 'codeshared': None}",,
2023-11-26,active,"{'airport': 'Arturo Merino Benitez', 'timezone': 'America/Santiago', 'iata': 'SCL', 'icao': 'SCEL', 'terminal': None, 'gate': '21', 'delay': 4, 'scheduled': '2023-11-26T08:04:00+00:00', 'estimated': '2023-11-26T08:04:00+00:00', 'actual': '2023-11-26T08:08:00+00:00', 'estimated_runway': '2023-11-26T08:08:00+00:00', 'actual_runway': '2023-11-26T08:08:00+00:00'}","{'airport': 'Carriel Sur', 'timezone': 'America/Santiago', 'iata': 'CCP', 'icao': 'SCIE', 'terminal': '1', 'gate': '5', 'baggage': '1', 'delay': None, 'scheduled': '2023-11-26T09:13:00+00:00', 'estimated': '2023-11-26T09:13:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Delta Air Lines', 'iata': 'DL', 'icao': 'DAL'}","{'number': '6219', 'iata': 'DL6219', 'icao': 'DAL6219', 'codeshared': {'airline_name': 'latam airlines', 'airline_iata': 'la', 'airline_icao': 'lan', 'flight_number': '7', 'flight_iata': 'la7', 'flight_icao': 'lan7'}}",,
2023-11-26,active,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': '3', 'gate': 'B14', 'delay': 23, 'scheduled': '2023-11-26T17:05:00+00:00', 'estimated': '2023-11-26T17:05:00+00:00', 'actual': '2023-11-26T17:27:00+00:00', 'estimated_runway': '2023-11-26T17:27:00+00:00', 'actual_runway': '2023-11-26T17:27:00+00:00'}","{'airport': 'Qingdao', 'timezone': 'Asia/Shanghai', 'iata': 'TAO', 'icao': 'ZSQD', 'terminal': '1', 'gate': None, 'baggage': '10', 'delay': None, 'scheduled': '2023-11-26T19:05:00+00:00', 'estimated': '2023-11-26T19:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Shandong Airlines', 'iata': 'SC', 'icao': 'CDG'}","{'number': '4772', 'iata': 'SC4772', 'icao': 'CDG4772', 'codeshared': None}",,
2023-11-26,active,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': '4', 'gate': '415', 'delay': 22, 'scheduled': '2023-11-26T17:05:00+00:00', 'estimated': '2023-11-26T17:05:00+00:00', 'actual': '2023-11-26T17:26:00+00:00', 'estimated_runway': '2023-11-26T17:26:00+00:00', 'actual_runway': '2023-11-26T17:26:00+00:00'}","{'airport': 'Nanning', 'timezone': 'Asia/Shanghai', 'iata': 'NNG', 'icao': 'ZGNN', 'terminal': 'T2', 'gate': None, 'baggage': '8', 'delay': None, 'scheduled': '2023-11-26T20:20:00+00:00', 'estimated': '2023-11-26T20:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Southern Airlines', 'iata': 'CZ', 'icao': 'CSN'}","{'number': '3758', 'iata': 'CZ3758', 'icao': 'CSN3758', 'codeshared': None}",,
2023-11-26,active,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': '3', 'gate': 'B32', 'delay': 4, 'scheduled': '2023-11-26T16:55:00+00:00', 'estimated': '2023-11-26T16:55:00+00:00', 'actual': '2023-11-26T16:58:00+00:00', 'estimated_runway': '2023-11-26T16:58:00+00:00', 'actual_runway': '2023-11-26T16:58:00+00:00'}","{'airport': 'Haikou', 'timezone': 'Asia/Shanghai', 'iata': 'HAK', 'icao': 'ZJHK', 'terminal': '2', 'gate': None, 'baggage': '9', 'delay': None, 'scheduled': '2023-11-26T19:55:00+00:00', 'estimated': '2023-11-26T19:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Hainan Airlines', 'iata': 'HU', 'icao': 'CHH'}","{'number': '7058', 'iata': 'HU7058', 'icao': 'CHH7058', 'codeshared': None}","{'registration': 'B-5611', 'iata': 'B738', 'icao': 'B738', 'icao24': '7807B3'}","{'updated': '2023-11-26T10:05:31+00:00', 'latitude': 25.978, 'longitude': 114.941, 'altitude': 9174.48, 'direction': 226, 'speed_horizontal': 713.02, 'speed_vertical': 0, 'is_ground': False}"
2023-11-26,active,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': '3', 'gate': 'B43', 'delay': 19, 'scheduled': '2023-11-26T16:50:00+00:00', 'estimated': '2023-11-26T16:50:00+00:00', 'actual': '2023-11-26T17:08:00+00:00', 'estimated_runway': '2023-11-26T17:08:00+00:00', 'actual_runway': '2023-11-26T17:08:00+00:00'}","{'airport': 'Shuangliu', 'timezone': 'Asia/Shanghai', 'iata': 'CTU', 'icao': 'ZUUU', 'terminal': '2', 'gate': None, 'baggage': '16', 'delay': None, 'scheduled': '2023-11-26T20:05:00+00:00', 'estimated': '2023-11-26T20:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Loong Air', 'iata': 'GJ', 'icao': 'CDC'}","{'number': '8067', 'iata': 'GJ8067', 'icao': 'CDC8067', 'codeshared': None}",,
2023-11-26,active,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': '3', 'gate': 'B25', 'delay': 30, 'scheduled': '2023-11-26T16:50:00+00:00', 'estimated': '2023-11-26T16:50:00+00:00', 'actual': '2023-11-26T17:19:00+00:00', 'estimated_runway': '2023-11-26T17:19:00+00:00', 'actual_runway': '2023-11-26T17:19:00+00:00'}","{'airport': 'Nanning', 'timezone': 'Asia/Shanghai', 'iata': 'NNG', 'icao': 'ZGNN', 'terminal': 'T2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-26T20:00:00+00:00', 'estimated': '2023-11-26T20:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Xiamen Airlines', 'iata': 'MF', 'icao': 'CXA'}","{'number': '8351', 'iata': 'MF8351', 'icao': 'CXA8351', 'codeshared': None}",,
2023-11-26,active,"{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': '4', 'gate': None, 'delay': 25, 'scheduled': '2023-11-26T16:35:00+00:00', 'estimated': '2023-11-26T16:35:00+00:00', 'actual': '2023-11-26T17:00:00+00:00', 'estimated_runway': '2023-11-26T17:00:00+00:00', 'actual_runway': '2023-11-26T17:00:00+00:00'}","{'airport': 'Urumqi', 'timezone': 'Asia/Shanghai', 'iata': 'URC', 'icao': 'ZWWW', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-26T22:10:00+00:00', 'estimated': '2023-11-26T22:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Southern Airlines', 'iata': 'CZ', 'icao': 'CSN'}","{'number': '6920', 'iata': 'CZ6920', 'icao': 'CSN6920', 'codeshared': None}",,
