flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-11-27,active,"{'airport': 'Wollongong', 'timezone': 'Australia/Sydney', 'iata': 'WOL', 'icao': 'YSHL', 'terminal': None, 'gate': None, 'delay': 10, 'scheduled': '2023-11-27T05:45:00+00:00', 'estimated': '2023-11-27T05:45:00+00:00', 'actual': '2023-11-27T05:55:00+00:00', 'estimated_runway': '2023-11-27T05:55:00+00:00', 'actual_runway': '2023-11-27T05:55:00+00:00'}","{'airport': 'Williamtown', 'timezone': 'Australia/Sydney', 'iata': 'NTL', 'icao': 'YWLM', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-27T06:16:00+00:00', 'estimated': '2023-11-27T06:16:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'FlyPelican', 'iata': 'FP', 'icao': 'FRE'}","{'number': '995', 'iata': 'FP995', 'icao': 'FRE995', 'codeshared': None}",,
2023-11-27,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': '17', 'delay': 22, 'scheduled': '2023-11-27T06:25:00+00:00', 'estimated': '2023-11-27T06:25:00+00:00', 'actual': '2023-11-27T06:47:00+00:00', 'estimated_runway': '2023-11-27T06:47:00+00:00', 'actual_runway': '2023-11-27T06:47:00+00:00'}","{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': 'I', 'gate': '76B', 'baggage': 'I01', 'delay': None, 'scheduled': '2023-11-27T07:10:00+00:00', 'estimated': '2023-11-27T07:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Singapore Airlines', 'iata': 'SQ', 'icao': 'SIA'}","{'number': '4225', 'iata': 'SQ4225', 'icao': 'SIA4225', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '141', 'flight_iata': 'nz141', 'flight_icao': 'anz141'}}",,
2023-11-27,active,"{'airport': 'Suvarnabhumi International', 'timezone': 'Asia/Bangkok', 'iata': 'BKK', 'icao': 'VTBS', 'terminal': None, 'gate': None, 'delay': 37, 'scheduled': '2023-11-27T00:45:00+00:00', 'estimated': '2023-11-27T00:45:00+00:00', 'actual': '2023-11-27T01:22:00+00:00', 'estimated_runway': '2023-11-27T01:22:00+00:00', 'actual_runway': '2023-11-27T01:22:00+00:00'}","{'airport': 'Fukuoka', 'timezone': 'Asia/Tokyo', 'iata': 'FUK', 'icao': 'RJFF', 'terminal': 'I', 'gate': None, 'baggage': None, 'delay': 16, 'scheduled': '2023-11-27T07:55:00+00:00', 'estimated': '2023-11-27T07:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'VietJet Air', 'iata': 'VJ', 'icao': 'VJC'}","{'number': '810', 'iata': 'VJ810', 'icao': 'VJC810', 'codeshared': None}",,
2023-11-27,active,"{'airport': 'Haneda Airport', 'timezone': 'Asia/Tokyo', 'iata': 'HND', 'icao': 'RJTT', 'terminal': '3', 'gate': '112', 'delay': 21, 'scheduled': '2023-11-27T01:30:00+00:00', 'estimated': '2023-11-27T01:30:00+00:00', 'actual': '2023-11-27T01:51:00+00:00', 'estimated_runway': '2023-11-27T01:51:00+00:00', 'actual_runway': '2023-11-27T01:51:00+00:00'}","{'airport': 'Tan Son Nhat International', 'timezone': 'Asia/Ho_Chi_Minh', 'iata': 'SGN', 'icao': 'VVTS', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-27T05:50:00+00:00', 'estimated': '2023-11-27T05:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'American Airlines', 'iata': 'AA', 'icao': 'AAL'}","{'number': '8493', 'iata': 'AA8493', 'icao': 'AAL8493', 'codeshared': {'airline_name': 'jal', 'airline_iata': 'jl', 'airline_icao': 'jal', 'flight_number': '79', 'flight_iata': 'jl79', 'flight_icao': 'jal79'}}",,
2023-11-27,active,"{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': 'B7', 'delay': 21, 'scheduled': '2023-11-27T02:25:00+00:00', 'estimated': '2023-11-27T02:25:00+00:00', 'actual': '2023-11-27T02:45:00+00:00', 'estimated_runway': '2023-11-27T02:45:00+00:00', 'actual_runway': '2023-11-27T02:45:00+00:00'}","{'airport': 'Indira Gandhi International', 'timezone': 'Asia/Kolkata', 'iata': 'DEL', 'icao': 'VIDP', 'terminal': '3', 'gate': None, 'baggage': '13', 'delay': None, 'scheduled': '2023-11-27T05:55:00+00:00', 'estimated': '2023-11-27T05:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'ANA', 'iata': 'NH', 'icao': 'ANA'}","{'number': '6278', 'iata': 'NH6278', 'icao': 'ANA6278', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '402', 'flight_iata': 'sq402', 'flight_icao': 'sia402'}}",,
2023-11-27,active,"{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': 'B5', 'delay': 43, 'scheduled': '2023-11-27T01:20:00+00:00', 'estimated': '2023-11-27T01:20:00+00:00', 'actual': '2023-11-27T02:03:00+00:00', 'estimated_runway': '2023-11-27T02:03:00+00:00', 'actual_runway': '2023-11-27T02:03:00+00:00'}","{'airport': 'Fukuoka', 'timezone': 'Asia/Tokyo', 'iata': 'FUK', 'icao': 'RJFF', 'terminal': 'I', 'gate': None, 'baggage': None, 'delay': 14, 'scheduled': '2023-11-27T08:10:00+00:00', 'estimated': '2023-11-27T08:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Vistara', 'iata': 'UK', 'icao': 'VTI'}","{'number': '8656', 'iata': 'UK8656', 'icao': 'VTI8656', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '656', 'flight_iata': 'sq656', 'flight_icao': 'sia656'}}",,
2023-11-27,active,"{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': 'B5', 'delay': 43, 'scheduled': '2023-11-27T01:20:00+00:00', 'estimated': '2023-11-27T01:20:00+00:00', 'actual': '2023-11-27T02:03:00+00:00', 'estimated_runway': '2023-11-27T02:03:00+00:00', 'actual_runway': '2023-11-27T02:03:00+00:00'}","{'airport': 'Fukuoka', 'timezone': 'Asia/Tokyo', 'iata': 'FUK', 'icao': 'RJFF', 'terminal': 'I', 'gate': None, 'baggage': None, 'delay': 14, 'scheduled': '2023-11-27T08:10:00+00:00', 'estimated': '2023-11-27T08:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'ANA', 'iata': 'NH', 'icao': 'ANA'}","{'number': '6270', 'iata': 'NH6270', 'icao': 'ANA6270', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '656', 'flight_iata': 'sq656', 'flight_icao': 'sia656'}}",,
2023-11-27,active,"{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': 'A17', 'delay': 38, 'scheduled': '2023-11-27T01:20:00+00:00', 'estimated': '2023-11-27T01:20:00+00:00', 'actual': '2023-11-27T01:58:00+00:00', 'estimated_runway': '2023-11-27T01:58:00+00:00', 'actual_runway': '2023-11-27T01:58:00+00:00'}","{'airport': 'Chu-Bu Centrair International (Central Japan International)', 'timezone': 'Asia/Tokyo', 'iata': 'NGO', 'icao': 'RJGG', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 11, 'scheduled': '2023-11-27T08:30:00+00:00', 'estimated': '2023-11-27T08:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Vistara', 'iata': 'UK', 'icao': 'VTI'}","{'number': '8672', 'iata': 'UK8672', 'icao': 'VTI8672', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '672', 'flight_iata': 'sq672', 'flight_icao': 'sia672'}}",,
2023-11-27,active,"{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': 'A17', 'delay': 38, 'scheduled': '2023-11-27T01:20:00+00:00', 'estimated': '2023-11-27T01:20:00+00:00', 'actual': '2023-11-27T01:58:00+00:00', 'estimated_runway': '2023-11-27T01:58:00+00:00', 'actual_runway': '2023-11-27T01:58:00+00:00'}","{'airport': 'Chu-Bu Centrair International (Central Japan International)', 'timezone': 'Asia/Tokyo', 'iata': 'NGO', 'icao': 'RJGG', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 11, 'scheduled': '2023-11-27T08:30:00+00:00', 'estimated': '2023-11-27T08:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'ANA', 'iata': 'NH', 'icao': 'ANA'}","{'number': '6268', 'iata': 'NH6268', 'icao': 'ANA6268', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '672', 'flight_iata': 'sq672', 'flight_icao': 'sia672'}}",,
2023-11-27,active,"{'airport': 'Singapore Changi', 'timezone': 'Asia/Singapore', 'iata': 'SIN', 'icao': 'WSSS', 'terminal': '3', 'gate': 'A15', 'delay': 31, 'scheduled': '2023-11-27T01:15:00+00:00', 'estimated': '2023-11-27T01:15:00+00:00', 'actual': '2023-11-27T01:45:00+00:00', 'estimated_runway': '2023-11-27T01:45:00+00:00', 'actual_runway': '2023-11-27T01:45:00+00:00'}","{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': '2', 'gate': None, 'baggage': '29', 'delay': None, 'scheduled': '2023-11-27T06:30:00+00:00', 'estimated': '2023-11-27T06:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air China LTD', 'iata': 'CA', 'icao': 'CCA'}","{'number': '5287', 'iata': 'CA5287', 'icao': 'CCA5287', 'codeshared': {'airline_name': 'singapore airlines', 'airline_iata': 'sq', 'airline_icao': 'sia', 'flight_number': '826', 'flight_iata': 'sq826', 'flight_icao': 'sia826'}}",,
