flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-11-28,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '6', 'delay': 22, 'scheduled': '2023-11-28T00:30:00+00:00', 'estimated': '2023-11-28T00:30:00+00:00', 'actual': '2023-11-28T00:51:00+00:00', 'estimated_runway': '2023-11-28T00:51:00+00:00', 'actual_runway': '2023-11-28T00:51:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 9, 'scheduled': '2023-11-28T05:45:00+00:00', 'estimated': '2023-11-28T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Malaysia Airlines', 'iata': 'MH', 'icao': 'MAS'}","{'number': '128', 'iata': 'MH128', 'icao': 'MAS128', 'codeshared': None}",,
2023-11-28,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '6', 'delay': 22, 'scheduled': '2023-11-28T00:30:00+00:00', 'estimated': '2023-11-28T00:30:00+00:00', 'actual': '2023-11-28T00:51:00+00:00', 'estimated_runway': '2023-11-28T00:51:00+00:00', 'actual_runway': '2023-11-28T00:51:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 9, 'scheduled': '2023-11-28T05:45:00+00:00', 'estimated': '2023-11-28T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Oman Air', 'iata': 'WY', 'icao': 'OMA'}","{'number': '5554', 'iata': 'WY5554', 'icao': 'OMA5554', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '128', 'flight_iata': 'mh128', 'flight_icao': 'mas128'}}",,
2023-11-28,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '6', 'delay': 22, 'scheduled': '2023-11-28T00:30:00+00:00', 'estimated': '2023-11-28T00:30:00+00:00', 'actual': '2023-11-28T00:51:00+00:00', 'estimated_runway': '2023-11-28T00:51:00+00:00', 'actual_runway': '2023-11-28T00:51:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 9, 'scheduled': '2023-11-28T05:45:00+00:00', 'estimated': '2023-11-28T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SriLankan Airlines', 'iata': 'UL', 'icao': 'ALK'}","{'number': '2328', 'iata': 'UL2328', 'icao': 'ALK2328', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '128', 'flight_iata': 'mh128', 'flight_icao': 'mas128'}}",,
2023-11-28,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '6', 'delay': 22, 'scheduled': '2023-11-28T00:30:00+00:00', 'estimated': '2023-11-28T00:30:00+00:00', 'actual': '2023-11-28T00:51:00+00:00', 'estimated_runway': '2023-11-28T00:51:00+00:00', 'actual_runway': '2023-11-28T00:51:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 9, 'scheduled': '2023-11-28T05:45:00+00:00', 'estimated': '2023-11-28T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Turkish Airlines', 'iata': 'TK', 'icao': 'THY'}","{'number': '4810', 'iata': 'TK4810', 'icao': 'THY4810', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '128', 'flight_iata': 'mh128', 'flight_icao': 'mas128'}}",,
2023-11-28,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '6', 'delay': 22, 'scheduled': '2023-11-28T00:30:00+00:00', 'estimated': '2023-11-28T00:30:00+00:00', 'actual': '2023-11-28T00:51:00+00:00', 'estimated_runway': '2023-11-28T00:51:00+00:00', 'actual_runway': '2023-11-28T00:51:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 9, 'scheduled': '2023-11-28T05:45:00+00:00', 'estimated': '2023-11-28T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Saudia', 'iata': 'SV', 'icao': 'SVA'}","{'number': '6326', 'iata': 'SV6326', 'icao': 'SVA6326', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '128', 'flight_iata': 'mh128', 'flight_icao': 'mas128'}}",,
2023-11-28,active,"{'airport': 'Amata Kabua International', 'timezone': 'Pacific/Majuro', 'iata': 'MAJ', 'icao': 'PKMJ', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-28T01:00:00+00:00', 'estimated': '2023-11-28T01:00:00+00:00', 'actual': '2023-11-28T00:41:00+00:00', 'estimated_runway': '2023-11-28T00:41:00+00:00', 'actual_runway': '2023-11-28T00:41:00+00:00'}","{'airport': 'Honolulu International', 'timezone': 'Pacific/Honolulu', 'iata': 'HNL', 'icao': 'PHNL', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-27T07:23:00+00:00', 'estimated': '2023-11-27T07:23:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Asia Pacific Airlines', 'iata': 'P9', 'icao': 'MGE'}","{'number': '301', 'iata': 'P9301', 'icao': 'MGE301', 'codeshared': None}",,
2023-11-28,active,"{'airport': 'Gladstone', 'timezone': 'Australia/Brisbane', 'iata': 'GLT', 'icao': 'YGLA', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-28T01:10:00+00:00', 'estimated': '2023-11-28T01:10:00+00:00', 'actual': '2023-11-28T00:02:00+00:00', 'estimated_runway': '2023-11-28T00:02:00+00:00', 'actual_runway': '2023-11-28T00:02:00+00:00'}","{'airport': 'Gladstone', 'timezone': 'Australia/Brisbane', 'iata': 'GLT', 'icao': 'YGLA', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-28T00:40:00+00:00', 'estimated': '2023-11-28T00:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'empty', 'iata': None, 'icao': None}","{'number': None, 'iata': None, 'icao': None, 'codeshared': None}",,
2023-11-28,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': None, 'gate': None, 'delay': 14, 'scheduled': '2023-11-28T03:20:00+00:00', 'estimated': '2023-11-28T03:20:00+00:00', 'actual': '2023-11-28T03:33:00+00:00', 'estimated_runway': '2023-11-28T03:33:00+00:00', 'actual_runway': '2023-11-28T03:33:00+00:00'}","{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': 5, 'scheduled': '2023-11-28T05:03:00+00:00', 'estimated': '2023-11-28T05:03:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'DHL Air', 'iata': 'D0', 'icao': 'DHK'}","{'number': '7', 'iata': 'D07', 'icao': 'DHK7', 'codeshared': None}",,
2023-11-28,active,"{'airport': 'Norfolk Island', 'timezone': 'Pacific/Norfolk', 'iata': 'NLK', 'icao': 'YSNF', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2023-11-28T03:00:00+00:00', 'estimated': '2023-11-28T03:00:00+00:00', 'actual': '2023-11-28T02:26:00+00:00', 'estimated_runway': '2023-11-28T02:26:00+00:00', 'actual_runway': '2023-11-28T02:26:00+00:00'}","{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': 'D', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-11-28T03:16:00+00:00', 'estimated': '2023-11-28T03:16:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Aeromexico', 'iata': 'AM', 'icao': 'AMX'}","{'number': '614', 'iata': 'AM614', 'icao': 'AMX614', 'codeshared': None}",,
2023-11-28,active,"{'airport': 'Melbourne - Tullamarine Airport', 'timezone': 'Australia/Melbourne', 'iata': 'MEL', 'icao': 'YMML', 'terminal': '2', 'gate': '6', 'delay': 22, 'scheduled': '2023-11-28T00:30:00+00:00', 'estimated': '2023-11-28T00:30:00+00:00', 'actual': '2023-11-28T00:51:00+00:00', 'estimated_runway': '2023-11-28T00:51:00+00:00', 'actual_runway': '2023-11-28T00:51:00+00:00'}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': 9, 'scheduled': '2023-11-28T05:45:00+00:00', 'estimated': '2023-11-28T05:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qatar Airways', 'iata': 'QR', 'icao': 'QTR'}","{'number': '4968', 'iata': 'QR4968', 'icao': 'QTR4968', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '128', 'flight_iata': 'mh128', 'flight_icao': 'mas128'}}",,
